,Name only,page url,Ref count,nb_journal_citations,Sci count,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
32,Site-directed mutagenesis,https://en.wikipedia.org/wiki/Site-directed_mutagenesis,27,24,0.8888888888888888,564361,Allow all users (no expiry set),24751,30 March 2004,JWSchmidt ,374,0,2004-03-30,2004-03,2004
33,Yield10 Bioscience,https://en.wikipedia.org/wiki/Yield10_Bioscience,24,0,0.0,37176523,Allow all users (no expiry set),11845,30 September 2012,Keitsist ,83,3,2012-09-30,2012-09,2012
34,Antibiotic,https://en.wikipedia.org/wiki/Antibiotic,223,146,0.6547085201793722,1805,Allow all users (no expiry set),137919,9 November 2001,Malcolm Farmer ,4229,8,2001-11-09,2001-11,2001
35,Epigenome editing,https://en.wikipedia.org/wiki/Epigenome_editing,37,32,0.8648648648648649,42299134,Allow all users (no expiry set),27301,16 February 2014,Kazi1111 ,95,0,2014-02-16,2014-02,2014
36,Candida albicans,https://en.wikipedia.org/wiki/Candida_albicans,132,99,0.75,411673,Allow all users (no expiry set),81820,23 December 2003,Davodd ,1081,1,2003-12-23,2003-12,2003
37,Wheat,https://en.wikipedia.org/wiki/Wheat,154,59,0.38311688311688313,36858,Allow all users (no expiry set),119167,25 February 2002,Clasqm ,3844,4,2002-02-25,2002-02,2002
38,Mutagenesis (molecular biology technique),https://en.wikipedia.org/wiki/Mutagenesis_(molecular_biology_technique),31,27,0.8709677419354839,39510164,Allow all users (no expiry set),25438,28 May 2013,Hzh ,137,0,2013-05-28,2013-05,2013
39,Artificial transcription factor,https://en.wikipedia.org/wiki/Artificial_transcription_factor,10,10,1.0,6732090,Allow all users (no expiry set),14469,28 August 2006,Seans Potato Business ,77,0,2006-08-28,2006-08,2006
40,LEAPER gene editing,https://en.wikipedia.org/wiki/LEAPER_gene_editing,8,5,0.625,65074394,Allow all users (no expiry set),7206,25 August 2020,HAL333 ,74,0,2020-08-25,2020-08,2020
41,No-SCAR (Scarless Cas9 Assisted Recombineering) Genome Editing,https://en.wikipedia.org/wiki/No-SCAR_(Scarless_Cas9_Assisted_Recombineering)_Genome_Editing,32,32,1.0,49539168,Allow all users (no expiry set),44816,25 February 2016,Brownjib ,65,0,2016-02-25,2016-02,2016
42,Pandemic prevention,https://en.wikipedia.org/wiki/Pandemic_prevention,154,43,0.2792207792207792,63478457,Allow all users (no expiry set),96687,25 March 2020,Prototyperspective ,114,3,2020-03-25,2020-03,2020
43,Surveyor nuclease assay,https://en.wikipedia.org/wiki/Surveyor_nuclease_assay,23,23,1.0,49526463,Allow all users (no expiry set),26023,23 February 2016,Naomi and Leanne ,61,0,2016-02-23,2016-02,2016
44,Synechocystis sp. PCC 6803,https://en.wikipedia.org/wiki/Synechocystis_sp._PCC_6803,34,31,0.9117647058823529,18878850,Allow all users (no expiry set),31688,15 August 2008,Bilardi ,140,0,2008-08-15,2008-08,2008
45,BioGRID,https://en.wikipedia.org/wiki/BioGRID,17,15,0.8823529411764706,4400671,Allow all users (no expiry set),19196,15 March 2006,FreeKill ,204,0,2006-03-15,2006-03,2006
46,Selfish genetic element,https://en.wikipedia.org/wiki/Selfish_genetic_element,131,117,0.8931297709923665,44353,Allow all users (no expiry set),83856,14 March 2002,62.60.48.222 ,227,1,2002-03-14,2002-03,2002
47,Christine Merlin,https://en.wikipedia.org/wiki/Christine_Merlin,23,14,0.6086956521739131,67852897,Allow all users (no expiry set),21763,4 June 2021,Bioclocks2021 ,17,1,2021-06-04,2021-06,2021
48,Micropeptide,https://en.wikipedia.org/wiki/Micropeptide,40,37,0.925,59387611,Allow all users (no expiry set),31175,14 December 2018,Evolution and evolvability ,48,0,2018-12-14,2018-12,2018
49,Induced stem cells,https://en.wikipedia.org/wiki/Induced_stem_cells,344,325,0.9447674418604651,36315057,Allow all users (no expiry set),219048,3 July 2012,Дмитрий Дж. ,735,2,2012-07-03,2012-07,2012
50,Gene therapy for epilepsy,https://en.wikipedia.org/wiki/Gene_therapy_for_epilepsy,28,26,0.9285714285714286,41050914,Allow all users (no expiry set),24675,11 November 2013,AlexLee90 ,186,0,2013-11-11,2013-11,2013
