,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
21,Climate change and indigenous peoples,https://en.wikipedia.org/wiki/Climate_change_and_indigenous_peoples,108,45,31,1,2,8,0,1,0.287037037,0.009259259259,0.07407407407,0.4166666667,0.01851851852,0.7314814815,51545446,Allow all users (no expiry set),82877,8 September 2016,Mattosterhaus,249,0,2016-09-08,2016-09,2016
22,Climate change vulnerability,https://en.wikipedia.org/wiki/Climate_change_vulnerability,34,4,5,2,13,0,0,0,0.1470588235,0.05882352941,0,0.1176470588,0.3823529412,0.7058823529,66204363,Allow all users (no expiry set),32534,26 December 2020,Sadads,74,1,2020-12-26,2020-12,2020
23,2022 in climate change,https://en.wikipedia.org/wiki/2022_in_climate_change,40,7,10,3,7,9,0,1,0.25,0.075,0.225,0.175,0.175,0.675,69759774,Allow all users (no expiry set),31178,14 January 2022,RCraig09,45,4,2022-01-14,2022-01,2022
24,Climate change in China,https://en.wikipedia.org/wiki/Climate_change_in_China,61,11,14,0,1,18,0,0,0.2295081967,0,0.2950819672,0.1803278689,0.01639344262,0.4262295082,18521372,Allow all users (no expiry set),46069,21 July 2008,Mac,494,5,2008-07-21,2008-07,2008
25,Climate change in the Arctic,https://en.wikipedia.org/wiki/Climate_change_in_the_Arctic,149,63,21,10,7,34,0,2,0.1409395973,0.06711409396,0.2281879195,0.4228187919,0.04697986577,0.677852349,13294262,Allow all users (no expiry set),103467,16 September 2007,Rosiestep,1527,8,2007-09-16,2007-09,2007
26,Climate change and invasive species,https://en.wikipedia.org/wiki/Climate_change_and_invasive_species,48,35,2,4,0,3,0,0,0.04166666667,0.08333333333,0.0625,0.7291666667,0,0.8541666667,59231369,Allow all users (no expiry set),55225,3 December 2018,TierneyM,152,5,2018-12-03,2018-12,2018
27,Media coverage of climate change,https://en.wikipedia.org/wiki/Media_coverage_of_climate_change,94,39,11,2,1,9,0,4,0.1170212766,0.02127659574,0.09574468085,0.414893617,0.01063829787,0.5638297872,28370160,Allow all users (no expiry set),68721,15 August 2010,Rd232,585,3,2010-08-15,2010-08,2010
28,Climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation,542,133,111,10,41,88,0,40,0.204797048,0.0184501845,0.1623616236,0.2453874539,0.07564575646,0.5442804428,2119179,Allow all users (no expiry set),303760,26 June 2005,Rd232,3667,17,2005-06-26,2005-06,2005
29,Climate change in Bangladesh,https://en.wikipedia.org/wiki/Climate_change_in_Bangladesh,44,8,16,1,0,5,0,0,0.3636363636,0.02272727273,0.1136363636,0.1818181818,0,0.5681818182,34151275,Allow all users (no expiry set),48255,22 December 2011,BUET1401,320,1,2011-12-22,2011-12,2011
30,Climate change in Europe,https://en.wikipedia.org/wiki/Climate_change_in_Europe,113,4,23,4,0,30,0,8,0.203539823,0.03539823009,0.2654867257,0.03539823009,0,0.2743362832,33834771,Allow all users (no expiry set),78257,22 November 2011,Watti Renew,340,4,2011-11-22,2011-11,2011
31,Climate change in South Africa,https://en.wikipedia.org/wiki/Climate_change_in_South_Africa,29,10,4,3,0,4,0,0,0.1379310345,0.1034482759,0.1379310345,0.3448275862,0,0.5862068966,64744942,Allow all users (no expiry set),19422,3 August 2020,Sadads,154,1,2020-08-03,2020-08,2020
32,Scientific consensus on climate change,https://en.wikipedia.org/wiki/Scientific_consensus_on_climate_change,160,17,59,10,25,18,0,1,0.36875,0.0625,0.1125,0.10625,0.15625,0.69375,326324,Require administrator access (no expiry set),155793,24 September 2003,William M. Connolley,4366,0,2003-09-24,2003-09,2003
33,Climate change in South Asia,https://en.wikipedia.org/wiki/Climate_change_in_South_Asia,42,5,9,2,2,8,0,1,0.2142857143,0.04761904762,0.1904761905,0.119047619,0.04761904762,0.4285714286,10865637,Allow all users (no expiry set),25771,24 April 2007,Saravask,484,1,2007-04-24,2007-04,2007
34,Psychological impact of climate change,https://en.wikipedia.org/wiki/Psychological_impact_of_climate_change,73,45,3,2,1,4,0,1,0.04109589041,0.02739726027,0.05479452055,0.6164383562,0.01369863014,0.698630137,63079510,Allow all users (no expiry set),59025,11 February 2020,Jarble,227,36,2020-02-11,2020-02,2020
35,Deforestation and climate change,https://en.wikipedia.org/wiki/Deforestation_and_climate_change,101,39,21,7,3,15,0,3,0.2079207921,0.06930693069,0.1485148515,0.3861386139,0.0297029703,0.6930693069,44035599,Allow all users (no expiry set),76477,6 October 2014,Jarble,452,12,2014-10-06,2014-10,2014
36,Climate change in the Caribbean,https://en.wikipedia.org/wiki/Climate_change_in_the_Caribbean,25,11,2,3,0,5,0,2,0.08,0.12,0.2,0.44,0,0.64,55574351,Allow all users (no expiry set),20082,19 October 2017,Mcqf,199,2,2017-10-19,2017-10,2017
37,Effects of climate change on the water cycle,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_the_water_cycle,15,6,2,1,3,0,0,0,0.1333333333,0.06666666667,0,0.4,0.2,0.8,67695754,Allow all users (no expiry set),11169,18 May 2021,Daanstroeken,45,2,2021-05-18,2021-05,2021
38,Climate change in Russia,https://en.wikipedia.org/wiki/Climate_change_in_Russia,47,19,9,0,2,7,0,0,0.1914893617,0,0.1489361702,0.4042553191,0.04255319149,0.6382978723,18360850,Allow all users (no expiry set),38242,9 July 2008,Mac,243,4,2008-07-09,2008-07,2008
39,Climate change in New Zealand,https://en.wikipedia.org/wiki/Climate_change_in_New_Zealand,229,0,31,53,1,10,0,5,0.135371179,0.231441048,0.04366812227,0,0.004366812227,0.3711790393,19258753,Allow all users (no expiry set),138957,10 September 2008,Alan Liefting,1131,8,2008-09-10,2008-09,2008
40,Climate change in the Philippines,https://en.wikipedia.org/wiki/Climate_change_in_the_Philippines,40,7,7,3,0,12,0,2,0.175,0.075,0.3,0.175,0,0.425,57677465,Allow all users (no expiry set),36508,14 June 2018,Jarble,59,4,2018-06-14,2018-06,2018
41,Public opinion on climate change,https://en.wikipedia.org/wiki/Public_opinion_on_climate_change,135,49,25,0,0,34,0,4,0.1851851852,0,0.2518518519,0.362962963,0,0.5481481481,25428398,Allow all users (no expiry set),111780,14 December 2009,Shock Brigade Harvester Boris,947,3,2009-12-14,2009-12,2009
42,Politics of climate change,https://en.wikipedia.org/wiki/Politics_of_climate_change,138,12,25,0,2,30,0,14,0.1811594203,0,0.2173913043,0.08695652174,0.01449275362,0.2826086957,2260887,Require autoconfirmed or confirmed access (no expiry set),86879,18 July 2005,Rd232,1346,10,2005-07-18,2005-07,2005
43,Climate change in India,https://en.wikipedia.org/wiki/Climate_change_in_India,74,11,14,1,0,27,0,1,0.1891891892,0.01351351351,0.3648648649,0.1486486486,0,0.3513513514,61880639,Allow all users (no expiry set),46388,25 September 2019,Chidgk1,214,3,2019-09-25,2019-09,2019
44,Index of climate change articles,https://en.wikipedia.org/wiki/Index_of_climate_change_articles,0,0,0,0,0,0,0,0,,,,,,,17321713,Allow all users (no expiry set),9601,8 May 2008,Theo Pardilla,278,0,2008-05-08,2008-05,2008
45,2021 in climate change,https://en.wikipedia.org/wiki/2021_in_climate_change,183,58,35,8,1,32,0,12,0.1912568306,0.04371584699,0.174863388,0.3169398907,0.005464480874,0.5573770492,66104473,Allow all users (no expiry set),145814,14 December 2020,RCraig09,263,5,2020-12-14,2020-12,2020
46,Economics of climate change,https://en.wikipedia.org/wiki/Economics_of_climate_change,113,25,11,9,45,6,0,2,0.09734513274,0.0796460177,0.05309734513,0.2212389381,0.3982300885,0.796460177,2649947,Allow all users (no expiry set),133928,9 September 2005,Rd232,1362,5,2005-09-09,2005-09,2005
47,Climate change and children,https://en.wikipedia.org/wiki/Climate_change_and_children,41,18,9,1,0,2,0,1,0.2195121951,0.0243902439,0.0487804878,0.4390243902,0,0.6829268293,67417503,Allow all users (no expiry set),30420,16 April 2021,Tima93Lb,124,0,2021-04-16,2021-04,2021
48,United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change,73,3,7,1,12,5,0,1,0.09589041096,0.01369863014,0.06849315068,0.04109589041,0.1643835616,0.3150684932,31898,Allow all users (no expiry set),93015,4 August 2001,Simon_J_Kissane,1385,0,2001-08-04,2001-08,2001
49,Climate change in popular culture,https://en.wikipedia.org/wiki/Climate_change_in_popular_culture,52,0,5,0,0,36,0,5,0.09615384615,0,0.6923076923,0,0,0.09615384615,9717400,Allow all users (no expiry set),52032,25 February 2007,J 1982,452,11,2007-02-25,2007-02,2007
50,Climate change in the United Kingdom,https://en.wikipedia.org/wiki/Climate_change_in_the_United_Kingdom,22,1,4,4,0,2,0,7,0.1818181818,0.1818181818,0.09090909091,0.04545454545,0,0.4090909091,25369297,Allow all users (no expiry set),16419,9 December 2009,Alan Liefting,328,1,2009-12-09,2009-12,2009
51,Climate change in Mexico,https://en.wikipedia.org/wiki/Climate_change_in_Mexico,52,19,6,0,1,5,0,0,0.1153846154,0,0.09615384615,0.3653846154,0.01923076923,0.5,46831763,Allow all users (no expiry set),39467,29 May 2015,Jarble,151,1,2015-05-29,2015-05,2015
52,Climate change in Pakistan,https://en.wikipedia.org/wiki/Climate_change_in_Pakistan,21,1,5,2,3,4,0,0,0.2380952381,0.09523809524,0.1904761905,0.04761904762,0.1428571429,0.5238095238,42188316,Allow all users (no expiry set),26185,13 March 2014,Nestwiki,188,2,2014-03-13,2014-03,2014
53,Climate change in Florida,https://en.wikipedia.org/wiki/Climate_change_in_Florida,79,2,16,13,0,32,0,4,0.2025316456,0.164556962,0.4050632911,0.0253164557,0,0.3924050633,19042179,Allow all users (no expiry set),37665,26 August 2008,Nukeless,59,1,2008-08-26,2008-08,2008
54,Climate change and gender,https://en.wikipedia.org/wiki/Climate_change_and_gender,78,17,16,6,7,7,0,1,0.2051282051,0.07692307692,0.08974358974,0.2179487179,0.08974358974,0.5897435897,38978504,Allow all users (no expiry set),69853,1 April 2013,Weatherby551,295,7,2013-04-01,2013-04,2013
55,Climate change and infectious diseases,https://en.wikipedia.org/wiki/Climate_change_and_infectious_diseases,114,50,18,9,3,15,0,0,0.1578947368,0.07894736842,0.1315789474,0.4385964912,0.02631578947,0.701754386,63453251,Allow all users (no expiry set),86556,23 March 2020,LauraFiHu,133,1,2020-03-23,2020-03,2020
56,Climate change in Antarctica,https://en.wikipedia.org/wiki/Climate_change_in_Antarctica,70,36,6,3,5,10,0,1,0.08571428571,0.04285714286,0.1428571429,0.5142857143,0.07142857143,0.7142857143,46905624,Allow all users (no expiry set),55400,6 June 2015,Scott Illini,261,34,2015-06-06,2015-06,2015
57,Tropical cyclones and climate change,https://en.wikipedia.org/wiki/Tropical_cyclones_and_climate_change,58,32,4,2,6,6,0,2,0.06896551724,0.03448275862,0.1034482759,0.5517241379,0.1034482759,0.7586206897,28760070,Allow all users (no expiry set),42865,9 September 2010,Jehochman,482,8,2010-09-09,2010-09,2010
58,United Nations Climate Change conference,https://en.wikipedia.org/wiki/United_Nations_Climate_Change_conference,64,0,14,2,0,14,0,2,0.21875,0.03125,0.21875,0,0,0.25,38755144,Allow all users (no expiry set),54785,8 March 2013,L.tak,373,2,2013-03-08,2013-03,2013
59,Climate change in Colorado,https://en.wikipedia.org/wiki/Climate_change_in_Colorado,25,7,3,7,0,7,0,0,0.12,0.28,0.28,0.28,0,0.68,54374990,Allow all users (no expiry set),20930,23 June 2017,BD2412,94,1,2017-06-23,2017-06,2017
60,Climate change in Texas,https://en.wikipedia.org/wiki/Climate_change_in_Texas,52,17,10,16,0,6,0,0,0.1923076923,0.3076923077,0.1153846154,0.3269230769,0,0.8269230769,67018346,Allow all users (no expiry set),36682,22 August 2008,Nukeless,205,2,2008-08-22,2008-08,2008
61,Climate change in California,https://en.wikipedia.org/wiki/Climate_change_in_California,52,9,10,9,2,14,0,1,0.1923076923,0.1730769231,0.2692307692,0.1730769231,0.03846153846,0.5769230769,18159949,Allow all users (no expiry set),35848,27 June 2008,Mac,446,5,2008-06-27,2008-06,2008
62,Intergovernmental Panel on Climate Change,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change,150,13,9,2,83,15,0,4,0.06,0.01333333333,0.1,0.08666666667,0.5533333333,0.7133333333,15030,Require administrator access (no expiry set),106627,21 September 2001,Pinkunicorn,3418,35,2001-09-21,2001-09,2001
63,Climate change policy of the United States,https://en.wikipedia.org/wiki/Climate_change_policy_of_the_United_States,208,7,62,34,0,77,0,4,0.2980769231,0.1634615385,0.3701923077,0.03365384615,0,0.4951923077,25447994,Allow all users (no expiry set),133861,15 December 2009,Alan Liefting,1205,5,2009-12-15,2009-12,2009
64,Climate change in Japan,https://en.wikipedia.org/wiki/Climate_change_in_Japan,27,1,5,0,0,10,0,2,0.1851851852,0,0.3703703704,0.03703703704,0,0.2222222222,17765610,Allow all users (no expiry set),17528,4 June 2008,Mac,226,4,2008-06-04,2008-06,2008
65,Soft climate change denial,https://en.wikipedia.org/wiki/Soft_climate_change_denial,25,5,6,0,0,7,0,0,0.24,0,0.28,0.2,0,0.44,62405611,Allow all users (no expiry set),27385,22 November 2019,Blz 2049,25,0,2019-11-22,2019-11,2019
66,Climate change in Canada,https://en.wikipedia.org/wiki/Climate_change_in_Canada,143,10,13,13,0,19,0,4,0.09090909091,0.09090909091,0.1328671329,0.06993006993,0,0.2517482517,24886645,Allow all users (no expiry set),102001,29 October 2009,Nopetro,679,11,2009-10-29,2009-10,2009
67,History of climate change science,https://en.wikipedia.org/wiki/History_of_climate_change_science,91,28,20,4,1,10,0,2,0.2197802198,0.04395604396,0.1098901099,0.3076923077,0.01098901099,0.5824175824,23423379,Allow all users (no expiry set),78338,28 June 2009,Brian A Schmidt,702,0,2009-06-28,2009-06,2009
68,Climate change in Vietnam,https://en.wikipedia.org/wiki/Climate_change_in_Vietnam,22,2,3,1,2,1,0,0,0.1363636364,0.04545454545,0.04545454545,0.09090909091,0.09090909091,0.3636363636,59094050,Allow all users (no expiry set),31062,18 November 2018,Eleveneighteen,93,2,2018-11-18,2018-11,2018
69,Climate change in the Middle East and North Africa,https://en.wikipedia.org/wiki/Climate_change_in_the_Middle_East_and_North_Africa,87,36,27,2,1,7,0,0,0.3103448276,0.02298850575,0.08045977011,0.4137931034,0.01149425287,0.7586206897,63074081,Allow all users (no expiry set),47539,10 February 2020,אלכסנדר סעודה,214,4,2020-02-10,2020-02,2020
70,Climate change in Turkey,https://en.wikipedia.org/wiki/Climate_change_in_Turkey,135,19,32,6,0,51,0,3,0.237037037,0.04444444444,0.3777777778,0.1407407407,0,0.4222222222,51861985,Allow all users (no expiry set),65137,4 October 2016,Chidgk1,789,2,2016-10-04,2016-10,2016
71,Climate change denial,https://en.wikipedia.org/wiki/Climate_change_denial,347,41,57,3,4,106,0,31,0.1642651297,0.008645533141,0.3054755043,0.1181556196,0.01152737752,0.3025936599,12474403,Require administrator access (no expiry set),247126,27 July 2007,Cyrusc,3195,4,2007-07-27,2007-07,2007
72,Climate change in Germany,https://en.wikipedia.org/wiki/Climate_change_in_Germany,31,7,5,0,0,4,0,1,0.1612903226,0,0.1290322581,0.2258064516,0,0.3870967742,52276979,Allow all users (no expiry set),26423,14 November 2016,Watti Renew,129,2,2016-11-14,2016-11,2016
73,Abrupt climate change,https://en.wikipedia.org/wiki/Abrupt_climate_change,60,39,10,4,2,0,0,0,0.1666666667,0.06666666667,0,0.65,0.03333333333,0.9166666667,2240837,Allow all users (no expiry set),39564,15 July 2005,Wcalvin,582,1,2005-07-15,2005-07,2005
74,Climate change in Saskatchewan,https://en.wikipedia.org/wiki/Climate_change_in_Saskatchewan,55,25,2,3,0,0,0,0,0.03636363636,0.05454545455,0,0.4545454545,0,0.5454545455,35368044,Allow all users (no expiry set),47645,7 April 2012,Sunray,138,0,2012-04-07,2012-04,2012
75,ExxonMobil climate change controversy,https://en.wikipedia.org/wiki/ExxonMobil_climate_change_controversy,145,5,31,1,1,60,0,10,0.2137931034,0.006896551724,0.4137931034,0.03448275862,0.006896551724,0.2620689655,49108347,Allow all users (no expiry set),75597,15 January 2016,SageRad,995,1,2016-01-15,2016-01,2016
76,Human rights and climate change,https://en.wikipedia.org/wiki/Human_rights_and_climate_change,64,5,32,1,4,2,0,0,0.5,0.015625,0.03125,0.078125,0.0625,0.65625,35614913,Allow all users (no expiry set),40719,25 April 2012,Jordan Baehr,129,7,2012-04-25,2012-04,2012
77,Climate change in France,https://en.wikipedia.org/wiki/Climate_change_in_France,59,7,9,0,0,10,0,7,0.1525423729,0,0.1694915254,0.1186440678,0,0.2711864407,54480550,Allow all users (no expiry set),43296,6 July 2017,Watti Renew,51,1,2017-07-06,2017-07,2017
78,2019 in climate change,https://en.wikipedia.org/wiki/2019_in_climate_change,19,6,3,2,0,4,0,1,0.1578947368,0.1052631579,0.2105263158,0.3157894737,0,0.5789473684,66104755,Allow all users (no expiry set),17643,14 December 2020,RCraig09,39,1,2020-12-14,2020-12,2020
79,Climate change in Nigeria,https://en.wikipedia.org/wiki/Climate_change_in_Nigeria,35,9,15,3,0,5,0,0,0.4285714286,0.08571428571,0.1428571429,0.2571428571,0,0.7714285714,65961058,Allow all users (no expiry set),29418,28 November 2020,Prithee P,164,2,2020-11-28,2020-11,2020
80,2020 in climate change,https://en.wikipedia.org/wiki/2020_in_climate_change,70,12,16,10,0,17,0,5,0.2285714286,0.1428571429,0.2428571429,0.1714285714,0,0.5428571429,66018134,Allow all users (no expiry set),59710,5 December 2020,RCraig09,123,0,2020-12-05,2020-12,2020
81,Individual action on climate change,https://en.wikipedia.org/wiki/Individual_action_on_climate_change,193,28,47,1,2,72,0,16,0.2435233161,0.00518134715,0.3730569948,0.1450777202,0.0103626943,0.4041450777,31253390,Allow all users (no expiry set),121963,21 March 2011,Pchittg2,568,1,2011-03-21,2011-03,2011
82,Waterborne disease and climate change,https://en.wikipedia.org/wiki/Waterborne_disease_and_climate_change,8,4,1,1,0,0,0,0,0.125,0.125,0,0.5,0,0.75,66068132,Allow all users (no expiry set),12056,10 December 2020,136.57.168.245,22,0,2020-12-10,2020-12,2020
83,Climate change in Greenland,https://en.wikipedia.org/wiki/Climate_change_in_Greenland,32,7,1,1,6,3,0,0,0.03125,0.03125,0.09375,0.21875,0.1875,0.46875,57708462,Allow all users (no expiry set),23874,18 June 2018,Matthias Süßen,117,0,2018-06-18,2018-06,2018
84,Climate change in Kenya,https://en.wikipedia.org/wiki/Climate_change_in_Kenya,36,3,12,1,2,6,0,1,0.3333333333,0.02777777778,0.1666666667,0.08333333333,0.05555555556,0.5,59047648,Allow all users (no expiry set),24850,13 November 2018,Jarble,284,1,2018-11-13,2018-11,2018
85,Climate change in Washington (state),https://en.wikipedia.org/wiki/Climate_change_in_Washington_(state),85,3,13,32,2,17,0,0,0.1529411765,0.3764705882,0.2,0.03529411765,0.02352941176,0.5882352941,15091601,Allow all users (no expiry set),126501,7 January 2008,Yorambauman,1214,2,2008-01-07,2008-01,2008
86,Climate change in Cyprus,https://en.wikipedia.org/wiki/Climate_change_in_Cyprus,14,1,1,2,0,3,0,0,0.07142857143,0.1428571429,0.2142857143,0.07142857143,0,0.2857142857,59175784,Allow all users (no expiry set),8725,27 November 2018,Jarble,43,0,2018-11-27,2018-11,2018
87,Climate change in Louisiana,https://en.wikipedia.org/wiki/Climate_change_in_Louisiana,7,1,0,1,0,5,0,0,0,0.1428571429,0.7142857143,0.1428571429,0,0.2857142857,54375067,Allow all users (no expiry set),11503,23 June 2017,BD2412,43,3,2017-06-23,2017-06,2017
88,Climate change in Scotland,https://en.wikipedia.org/wiki/Climate_change_in_Scotland,16,0,4,11,0,0,0,0,0.25,0.6875,0,0,0,0.9375,27021992,Allow all users (no expiry set),10521,19 April 2010,Andrewmc123,82,0,2010-04-19,2010-04,2010
89,Nature Climate Change,https://en.wikipedia.org/wiki/Nature_Climate_Change,2,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,41737459,Allow all users (no expiry set),2128,25 January 2014,IntoThinAir,50,0,2014-01-25,2014-01,2014
90,Climate change in Iraq,https://en.wikipedia.org/wiki/Climate_change_in_Iraq,10,0,4,0,0,1,0,0,0.4,0,0.1,0,0,0.4,59045521,Allow all users (no expiry set),7015,13 November 2018,Jarble,33,2,2018-11-13,2018-11,2018
91,Ozone depletion and climate change,https://en.wikipedia.org/wiki/Ozone_depletion_and_climate_change,48,12,8,1,5,8,0,0,0.1666666667,0.02083333333,0.1666666667,0.25,0.1041666667,0.5416666667,43656538,Allow all users (no expiry set),34341,25 August 2014,Polentarion,164,0,2014-08-25,2014-08,2014
92,Climate change in Israel,https://en.wikipedia.org/wiki/Climate_change_in_Israel,11,2,2,5,0,0,0,0,0.1818181818,0.4545454545,0,0.1818181818,0,0.8181818182,68073662,Allow all users (no expiry set),7775,29 June 2021,BD2412,19,0,2021-06-29,2021-06,2021
